Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
STARS OF KOVAN,988 Upper Serangoon Road  #01-27 ,26,Strata,1409000,54192,5035,02-DEC-2016,Retail,99 Yrs From 25/02/2015,New Sale,19,53,534733,North East Region,Hougang
NANYANG PARK,42 Jalan Limbok ,131,Strata,1430000,10916,1014,14-DEC-2016,Shop House,999 Yrs From 14/02/1881,Resale,19,54,548726,North East Region,Hougang
THE PROMENADE@PELIKAT,183 Jalan Pelikat  #01-97 ,24,Strata,688000,28667,2663,14-DEC-2016,Retail,Freehold,Resale,19,53,537643,North East Region,Hougang
STARS OF KOVAN,988 Upper Serangoon Road  #01-15 ,56,Strata,4118000,73536,6832,05-JAN-2017,Retail,99 Yrs From 25/02/2015,New Sale,19,53,534733,North East Region,Hougang
THE PROMENADE@PELIKAT,183 Jalan Pelikat  #01-32 ,19,Strata,600000,31579,2934,05-JAN-2017,Retail,Freehold,Resale,19,53,537643,North East Region,Hougang
STARS OF KOVAN,988 Upper Serangoon Road  #01-24 ,44,Strata,2563000,58250,5412,23-MAR-2017,Retail,99 Yrs From 25/02/2015,New Sale,19,53,534733,North East Region,Hougang
THE MIDTOWN,1187 Upper Serangoon Road  #01-38 ,73,Strata,2080000,28493,2647,09-DEC-2015,Retail,99 Yrs From 24/01/2013,New Sale,19,53,533971,North East Region,Hougang
SPAZIO @ KOVAN,767 Upper Serangoon Road  #01-07 ,61,Strata,2297260,37660,3499,16-DEC-2015,Retail,Freehold,New Sale,19,53,534635,North East Region,Hougang
N.A.,155/155A Upper Paya Lebar Road ,136,Land,2600000,19062,1771,22-DEC-2015,Shop House,Freehold,Resale,19,53,534853,Central Region,Toa Payoh
SERANGOON GARDEN ESTATE,13/13A Lichfield Road ,290,Land,4700000,16207,1506,04-FEB-2016,Shop House,999 Yrs From 01/01/1958,Resale,19,55,556833,North East Region,Serangoon
SPAZIO @ KOVAN,767 Upper Serangoon Road  #02-07 ,70,Strata,2221940,31742,2949,15-MAR-2016,Retail,Freehold,New Sale,19,53,534635,North East Region,Hougang
PRESTIGE POINT,398 Upper Paya Lebar Road  #01-05 ,53,Strata,1588850,29978,2785,17-MAR-2016,Retail,Freehold,Resale,19,53,534986,North East Region,Hougang
PRESTIGE POINT,398 Upper Paya Lebar Road  #01-04 ,50,Strata,1499650,29993,2786,17-MAR-2016,Retail,Freehold,Resale,19,53,534986,North East Region,Hougang
THOMSON PLAZA,301 Upper Thomson Road  #02-05 ,55,Strata,1280000,23273,2162,27-JAN-2011,Retail,99 Yrs From 15/10/1976,Resale,20,57,574408,Central Region,Bishan
51 @ AMK,51 Ang Mo Kio Avenue 3  #03-01 ,1420,Strata,12000000,8451,785,27-JAN-2011,Retail,81 Yrs From 07/03/1995,Resale,20,56,569922,North East Region,Ang Mo Kio
THOMSON RIDGE ESTATE,215F/215G Upper Thomson Road ,151,Land,3108888,20602,1914,07-FEB-2011,Shop House,Freehold,Resale,20,57,574349,Central Region,Bishan
THOMSON IMPERIAL COURT,200 Upper Thomson Road  #01-10 ,155,Strata,2150000,13871,1289,11-FEB-2011,Retail,Freehold,Resale,20,57,574424,Central Region,Bishan
THOMSON V TWO,11 Sin Ming Road  #B1-12 ,27,Strata,630000,23333,2168,21-MAR-2011,Retail,Freehold,Sub Sale,20,57,575629,Central Region,Bishan
THOMSON PLAZA,301 Upper Thomson Road  #01-61/62 ,73,Strata,2020000,27671,2571,30-MAR-2011,Retail,99 Yrs From 15/10/1976,Resale,20,57,574408,Central Region,Bishan
YEW LIAN PARK,213 Upper Thomson Road ,227,Land,6000000,26397,2452,07-APR-2011,Shop House,Freehold,Resale,20,57,574348,Central Region,Bishan
THOMSON V TWO,11 Sin Ming Road  #B1-23 ,19,Strata,650000,34211,3178,11-APR-2011,Retail,Freehold,Sub Sale,20,57,575629,Central Region,Bishan
THOMSON V TWO,11 Sin Ming Road  #B1-15 ,28,Strata,763260,27259,2532,15-APR-2011,Retail,Freehold,Sub Sale,20,57,575629,Central Region,Bishan
