Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Ris (West),2017,8,1,0.2,0.2,0.2,0.2,—,—,—,—,—
Pasir Ris (West),2017,8,2,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2017,8,3,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2017,8,4,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2017,8,5,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2017,8,6,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2017,8,7,6.8,3.2,3.2,3.6,—,—,—,—,—
Pasir Ris (West),2017,8,8,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2017,8,9,2,1,1.5,1.5,—,—,—,—,—
Pasir Ris (West),2017,8,10,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2017,8,11,1,0.5,0.5,0.5,—,—,—,—,—
Pasir Ris (West),2017,8,12,2.5,1,2,2,—,—,—,—,—
Pasir Ris (West),2017,8,13,1,0.5,0.5,0.5,—,—,—,—,—
Pasir Ris (West),2017,8,14,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2017,8,15,3.5,3,3,3,—,—,—,—,—
Pasir Ris (West),2017,8,16,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2017,8,17,45.5,28.5,33,36.5,—,—,—,—,—
Pasir Ris (West),2017,8,18,2.5,2,2.5,2.5,—,—,—,—,—
Pasir Ris (West),2017,8,19,32,31,32,32,—,—,—,—,—
Pasir Ris (West),2017,8,20,0.5,0.5,0.5,0.5,—,—,—,—,—
Pasir Ris (West),2017,8,21,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2017,8,22,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2017,8,23,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2017,8,24,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2017,8,25,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2017,8,26,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2017,8,27,4.5,4,4,4,—,—,—,—,—
Pasir Ris (West),2017,8,28,2.5,2.5,2.5,2.5,—,—,—,—,—
Pasir Ris (West),2017,8,29,1,0.5,0.5,1,—,—,—,—,—
Pasir Ris (West),2017,8,30,0.5,0.5,0.5,0.5,—,—,—,—,—
Pasir Ris (West),2017,8,31,0,0,0,0,—,—,—,—,—
