ID ;Station ;Region;Lat. (N);Long. (E) ;Elevation above mean sea-level (m) 
7;Macritchie Reservoir ;North;1.3417;103.8338;25
8;Lower Peirce Reservoir ;North;1.3701;103.8271;9
11;Choa Chu Kang (West) ;West;1.3746;103.6938;22
24;Changi Climate Station ;East;1.3678;103.9826;15
29;Pasir Ris (West) ;East;1.3863;103.9412;10
33;Jurong Pier ;West;1.3081;103.71;6
35;Ulu Pandan ;West;1.3329;103.7556;13
36;Serangoon ;North-East;1.3382;103.8657;9
40;Mandai ;North;1.4036;103.7898;38
43;Tai Seng ;Central;1.3399;103.8878;36
44;Jurong (West) ;West;1.3455;103.6806;84
46;Upper Thomson ;Central;1.3416;103.8106;34
50;Clementi ;West;1.3337;103.7768;69
55;Buangkok ;North-East;1.3837;103.886;29
60;Sentosa Island ;Central;1.25;103.8279;37
61;Chai Chee ;East;1.3277;103.9203;24
63;Boon Lay (West) ;West;1.3275;103.7042;11
64;Bukit Panjang ;West;1.3824;103.7603;32
66;Kranji Reservoir ;North;1.4387;103.7363;9
69;Upper Peirce Reservoir ;North;1.37;103.805;45
71;Kent Ridge ;Central;1.2923;103.7815;72
77;Queenstown ;Central;1.2937;103.8125;24
78;Tanjong Katong ;Central;1.307;103.8907;6
79;Somerset (Road) ;Central;1.3004;103.8372;67
81;Punggol ;North-East;1.4029;103.9092;25
82;Tuas West ;West;1.3247;103.6351;45
84;Simei ;East;1.3437;103.9444;19
88;Toa Payoh ;Central;1.3415;103.8519;29
89;Tuas ;West;1.3199;103.6616;25
90;Bukit Timah ;Central;1.3191;103.8191;21
91;Yishun ;North;1.4301;103.8308;43
92;Buona Vista ;Central;1.2841;103.7886;38
94;Pasir Ris (Central) ;East;1.3679;103.9489;23
101;Jurong (North) ;West;1.3505;103.7134;18
102;Semakau Island ;West;1.189;103.768;6
104;Admiralty ;North;1.4439;103.7854;27
106;Pulau Ubin ;East;1.4168;103.9673;27
107;East Coast Parkway ;East;1.3134;103.9619;9
108;Marina Barrage ;Central;1.2799;103.8703;15
109;Ang Mo Kio ;North-East;1.3764;103.8492;53
111;Newton ;Central;1.3106;103.8365;115
112;Lim Chu Kang ;North;1.4385;103.7013;6
113;Marine Parade ;Central;1.3065;103.9107;25
114;Choa Chu Kang (Central) ;West;1.3819;103.7386;25
115;Tuas South ;West;1.2938;103.6184;6
116;Pasir Panjang ;Central;1.281;103.754;26
117;Jurong Island ;West;1.2542;103.6741;22
118;Dhoby Ghaut ;Central;1.2994;103.8461;21
119;Nicoll Highway ;Central;1.3011;103.8666;26
120;Botanic Garden ;Central;1.3087;103.818;39
121;Choa Chu Kang (South) ;West;1.3729;103.7224;38
122;Khatib ;North;1.4173;103.8249;26
123;Whampoa ;Central;1.3214;103.8577;31
