Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Boon Lay (West),2000,11,1,0,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,2,0.4,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,3,0.7,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,4,12.9,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,5,0.2,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,6,0,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,7,8.9,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,8,0.5,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,9,0.2,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,10,1,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,11,25.3,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,12,9.2,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,13,0,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,14,3.9,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,15,0.4,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,16,0,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,17,1.1,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,18,21.4,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,19,42.7,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,20,24.2,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,21,57.3,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,22,76.2,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,23,0,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,24,0.3,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,25,0,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,26,7.8,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,27,5.7,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,28,5.5,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,29,4.1,—,—,—,—,—,—,—,—
Boon Lay (West),2000,11,30,4.5,—,—,—,—,—,—,—,—
