Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Ulu Pandan,1998,11,1,0.3,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,2,12.9,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,3,0,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,4,9.7,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,5,2,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,6,20.1,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,7,8.2,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,8,0,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,9,0,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,10,32.2,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,11,0.6,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,12,2.4,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,13,0,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,14,20.5,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,15,0.2,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,16,6.2,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,17,0,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,18,0,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,19,2.3,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,20,0,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,21,23.5,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,22,0,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,23,0,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,24,0,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,25,0,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,26,0,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,27,0,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,28,0,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,29,0,—,—,—,—,—,—,—,—
Ulu Pandan,1998,11,30,0,—,—,—,—,—,—,—,—
